Dealer Name,Address,Phone
Astra Daihatsu Bandung ABC,"Jl. Soekarno Hatta No. 438 D, Bandung",022 88888000
Astra Daihatsu Bandung Asia Afrika,"Jl. Asia Afrika No. 127, Bandung",022 4238977
Astra Daihatsu Bandung Cibeureum,"Jl. Raya Cibeureum No. 42, Bandung",022 6031568
Astra Daihatsu Bandung Cibiru,"Jl. A.H. Nasution Blok B5-17 dan B5-18 Kel. Cipadung Wetan, Kec. Panyileukan Bandung",022 7814210
Astra Daihatsu Bandung Pasir Kaliki,"Jl. Pasir Kaliki no. 148, Bandung",021 2020820
Astra Daihatsu Bandung Setiabudi,Jl. Dr. Setiabudhi No. 176 RT.004 RW.05 Bandung,022 2041009
Tunas Daihatsu Bandung Ahmad Yani,"Jl. A. Yani No. 229-231A, Kel.Merdeka, Bandung",022 7202625
Tunas Daihatsu Bandung Soekarno Hatta,"Jl. Soekarno Hatta No. 725B Metro Margahayu, Jatisari, Buah Batu, Bandung",022 7335678
Armada International Motor Daihatsu Surabaya (Rungkut),"Jl. Raya Rungkut No.2, Kali Rungkut, Rungkut, Surabaya, Jawa Timur, 60293",031 842 0999
Asco Daihatsu Surabaya Jemursari,"Jl. Raya Jemursari No. 184-186, Surabaya",031 8475757
Asco Daihatsu Surabaya Mastrip,"Jl. Mastrip No. 180 Bogangin,Kel.Kedurus,Kec.Karang Pilang, Surabaya",031 5630388
Astra Daihatsu Surabaya HR Muhammad,"Jl. HR Muhammad No. 4 & 6, Surabaya",031 7345700
Astra Daihatsu Surabaya Panglima Sudirman,"Jl. Panglima Sudirman No. 63, Surabaya",031 5346601
Astra Daihatsu Surabaya Pecindilan,null,0
Karunia Daihatsu Surabaya,"Jl. Sulawesi No. 47, Surabaya",031 5032229
Kharisma Sejahtera Daihatsu Surabaya,"Jl. Diponegoro No. 170, Surabaya",031 5661234
Kharisma Sentosa Daihatsu Surabaya (Pucang),"Jl. Pucang Anom Timur No. 21, Surabaya",031 5051234
Astra Daihatsu Malang A. Yani,"Jl. A. Yani No. 175, Malang",0341 478000
Astra Daihatsu Malang Kebon Sari,"Jl. Arief Margono No. 25, Malang",0341 366362
Jolo Abadi Daihatsu Malang,"Jl. Sunandar Priyo Sudarmo No. 22, Malang",0341 471666
Astra Daihatsu Semarang Majapahit,"Jl. Majapahit No. 111-117, Semarang",024 6717111
Astra Daihatsu Semarang Mangkang,Ruko F Jl.Mangkang Km 16  No.25 Kelurahan Raya Mangkang Wetan Kecamatan Tugu Semarang,0
Astra Daihatsu Semarang Pudak Payung,"Jl. Perintis Kemerdekaan, Pudak Payung, Banyumanik, Semarang",024 76402929
