RNum,Type,Dealer Name,Phone,Address
1,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Pramuka,"Jl. Pramuka No.137, RT.14/RW.5, Kel. Rawasari, Kec. Cempaka Putih, Jakarta Pusat",021-4259000
2,Penjualan,Hyundai Lotte Shopping Avenue,"Lotte Shopping Avenue, Jl Dr Satrio, Kuningan",0811-9922950
3,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai DI Panjaitan,"Jl. DI. Panjaitan No.138, RT.15/RW.2, Cipinang Besar Sel., Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta",021-85907989
4,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Pancoran,"Jl. Raya Pasar Minggu No. 7, Pancoran, Jakarta Selatan",021-79195000
5,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Sawah Besar,"Jl. Sukarjo Wiryopranoto No. 49, RT 4/RW 11, Jakarta Barat",021-6266370
6,Penjualan,Hyundai Mall Taman Anggrek,"Mall Taman Anggrek GF Unit C14, Jl. Letjen S. Parman No.Kav.21. Tomang, Kec.Grogol Petamburan, Kota Jakarta Barat",021-50667338
7,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Mampang,"Jl. Warung Buncit Raya No.203, Kalibata, Kec.Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta",021-79198080
8,"Penjualan,AC TYPE",Hyundai Kelapa Gading,"Plaza Kelapa Gading Ruko Blok A unit 31, 31A, 32, 32A , Jakarta Utara",021-45851313
9,"Penjualan,Servis dan Suku Cadang,AC TYPE,Authorized Body &amp; Paint,Doty",Hyundai Simprug,"Jl Teuku Nyak Arief No.14, Simprug, Jakarta Selatan",021-72895555
10,Appointed Body &amp; Paint,Tekno Jakarta,"Jl. Raya Bekasi KM 20, Rawa Terate, Cakung, Jakarta",021-50556789
11,"Penjualan,AC TYPE",Hyundai Lippo Plaza Kramat Jati,"Lippo Plaza Kramat Jati Lt. Ground Floor 58A, 60, Jl. Raya Bogor Km. 19, Kramat Jati, Jakarta Timur",021-80898499
12,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Pegangsaan,"Jl. Pegangsaan Indah Barat RT 16/21, Pegangsaan Dua, Kelapa Gading, Jakarta Utara, Jakarta",021-22468431
13,Penjualan,Hyundai Mangga Dua,"Ruko Tekstil Blok E4 No.4-5 Jl. Mangga Dua Raya, Kel. Ancol, Kec. Pademangan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta",021-22680888
14,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Sunter,"Jl Danau Sunter Barat Blok A1 – A2  No 7, Sunter, Jakarta Utara",021-6518565
15,Appointed Body &amp; Paint,Autoglad Ancol,"Jl. Ancol Barat VII no.2 RT 2/RW 1. Kec. Pademangan, Kota Jakarta Utara, RT.1/RW.3, Ancol, Pademangan, Jakarta, 14430",021-6919969
16,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Kebon Jeruk,"Jl. Panjang No. 5, RT.10/RW.5, Kedoya Utara, Kec. Kb. Jeruk, Jakarta Barat",021-58354316
17,Penjualan,Hyundai Pondok Indah Mall,"Pondok Indah Mall 3, 2nd Floor unit 206, Pondok Pinang, Kebayoran Lama, Jakarta Selatan",021-27812752
18,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Kalimalang,"Jl. Raya Kalimalang, Billy &amp; Moon, Jakarta Timur",021-8656868
19,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Fatmawati,"Jl. RS. Fatmawati Raya No. 29, RT.1/RW.10, Cilandak Bar, Kec. Cilandak, Jakarta Selatan",021-27811335
20,Penjualan,Hyundai AEON Mall Tanjung Barat,"AEON Tanjung Barat GF Unit 10 Jl. Raya Tj. Barat No. 163, RT.12/RW.4, Tj. Barat, Kec. Jagakarsa, Kota Jakarta Selatan",021-50942645
21,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Pluit,"Jl. Pluit Indah No. 17 RT.8/RW.6, Pluit, Kec. Penjaringan, Jakarta Utara",021-22675555
22,Penjualan,Hyundai AEON Mall Jakarta Garden City,"AEON Mall JGC Unit 2-02, Jl. Jkt Garden City Boulevard No.1, RW.6, Cakung Tim., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta",021-50676388
23,"Penjualan,AC TYPE",Hyundai Lippo Mall Puri,"Jl. Puri Indah Raya No. 3, RT.3/RW.2, Kembangan Sel, Kembangan, Jakarta Barat",021-29111029
24,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Pondok Gede,"Jl. Raya Jati Makmur No.2, RT.001/RW.008, Jatimakmur, Kec. Pondokgede, Kota Bks, Jawa Barat",021-85519363
25,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Joglo,"Jl. H. Muchtar Raya No. 28 A, RT.009/RW.008, Kel. Joglo, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta",021-21265977
26,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Cilandak,"Jl. Raya Karang Tengah 11D Lb. Bulus, Jakarta Selatan",021-75908666
27,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Ciputat,"Jl. Ir. H. Juanda No. 76 Ciputat , Tangerang Selatan",021-7490999
28,Appointed Body &amp; Paint,Prima Berkat Gemilang,"Jl. Rawa Buaya No.4, Cengkareng, Jakarta Barat",021-5401170
29,Penjualan,Hyundai PIK,"Jl. Marina Raya, Ruko Crown Golf, Blk. A No.37, RT.6/RW.2, Kamal Muara, Kec. Penjaringan, Jakarta Utara ",021-22338000
