Dealer Name,Address,Phone,Fax,City Name,Province Name,Tradein,Charging Station,TOSS
AUTO2000 Basuki Rachmat,"Jl. Basuki Rachmat 115-117, Surabaya, 60271",(031) 5452000 (Hunting),(031) 5342060,Surabaya,JAWA TIMUR,Available,Not Available,Available
AUTO2000 A. Yani,"Jl. Jend. Ahmad Yani No. 210, Surabaya 60235",(031) 8282000 (Hunting),(031) 8287656,Surabaya,JAWA TIMUR,Available,Not Available,Available
AUTO2000 Pecindilan,"Jl. Pecindilan 42, Surabaya 60273",(031) 3762000 (Hunting),(031) 3770136,Surabaya,JAWA TIMUR,Available,Not Available,Available
AUTO2000 Waru (DYNA OUTLET),"Jl. Raya Waru Km. 15, Surabaya 61256",(031) 8532000 (Hunting),(031) 8532575,Surabaya,JAWA TIMUR,Available,Not Available,Available
AUTO2000 Jemur Sari,"Jl. Raya Jemur Sari No. 215, Surabaya 60292",(031) 8492000 (Hunting)/ 8420077,(031) 8420079,Surabaya,JAWA TIMUR,Available,Not Available,Available
AUTO2000 Kertajaya,Jl. Kertajaya Indah Timur No 35 Surabaya 60116,(031) 5952000 (Hunting),(031) 5931881,Surabaya,JAWA TIMUR,Available,Available,Available
AUTO2000 Kenjeran,"Jl. Raya Kenjeran 522 -- 524, Kalijudan, Surabaya",(031) 3822000 (Hunting),(031) 3823737,Surabaya,JAWA TIMUR,Available,Not Available,Available
AUTO2000 Wiyung,"Jl. Lidah Wetan No.27 RT 001/ RW 04, Kelurahan Lidah Wetan. Kecamatan Lakarsantri",(031) 7522000,(031) 51160111,Surabaya,JAWA TIMUR,Available,Not Available,Available
Liek Motor Walikota,"Jl. Walikota Mustajab 2-4 , Surabaya 60272","(031) 5319393, 5325353, 5324444",(031) 5352976,Surabaya,JAWA TIMUR,Available,Not Available,Not Available
Liek Motor Indrapura,"Jl. Indrapura 47 - 49A, Surabaya 60175",(031) 3538999 (Hunting),(031) 3554767,Surabaya,JAWA TIMUR,Available,Available,Not Available
AUTO2000 HR Mohammad,"Jalan HR Mohammad No. 73, Surabaya",031-7312000,031-7314000,Surabaya,JAWA TIMUR,Available,Available,Available
Auto2000 Waru II,,,,Surabaya,JAWA TIMUR,Not Available,Not Available,Available
Asri Motor,"Jl. Jenggolo No. 52, Sidoarjo 61219","(031) 8942000 (Hunting), 8941403",(031) 8921904,Sidoarjo,JAWA TIMUR,Available,Not Available,Available
Asri Motor Taman,"Jl. Raya Taman 147, Sepanjang Taman, Sidoarjo",(031 ) 7872000,(031) 7878888,Sidoarjo,JAWA TIMUR,Available,Not Available,Available
Asri Motor BP,"Jl. Stadion No. 146 - 147 Kemiri, Kab. Sidoarjo",(031) 99715737,,Sidoarjo,JAWA TIMUR,Not Available,Not Available,Available
AUTO2000 Ciledug (BP),"Jl. H. A. Malik Pesanggrahan Deplu Raya,Jakarta 12270","(021) 7352000, 7351376",(021) 7351001,Tangerang,BANTEN,Not Available,Not Available,Available
AUTO2000 Bintaro Jaya,"Jl. M.H. Thamrin Blok B2/2, Sektor VII, Pusat Kawasan Niaga Bintaro Jaya 15224","(021) 7452000 (Hunting), 7454229",(021) 7454240,Tangerang,BANTEN,Available,Available,Available
AUTO2000 Bumi Serpong Damai,"2A Perum, Jl. Komp. Bsd Jl. Pahlawan Seribu No.2, Lengkong Gudang, Kec. Serpong, Kota Tangerang Selatan, Banten 15318",(021) 5382000,"(021) 5379755, 5379759",Tangerang,BANTEN,Available,Not Available,Available
AUTO2000 Pondok Jagung,"Jl. Raya Serpong Km. 7, Pondok Jagung - Tangerang 15310",(021) 5395656,(021) 5395655,Tangerang,BANTEN,Not Available,Not Available,Available
AUTO2000 Alam Sutera,"Jl. Jalur Sutera Kav. 3A Alam Sutera - Serpong, Tangerang",(021) 29662000,(021) 29661414,Tangerang,BANTEN,Available,Available,Available
AUTO2000 Tangerang,"Area Bisnis Park Tangerang City Jl. Jend. Sudirman, Babakan, Tangerang 15118",(021) 55732000,(021) 29239696,Tangerang,BANTEN,Available,Available,Available
Tunas Toyota Tangerang,"Jl. Merdeka No.80, Cimone, Tangerang 15114",(021) 5524986 (Hunting),(021) 5523134,Tangerang,BANTEN,Available,Not Available,Available
Tunas Toyota Ciputat,"Jl. Dewi Sartika 187, Ciputat, Tangerang Selatan 15411",(021) 7490724-26,(021) 7491679,Tangerang,BANTEN,Available,Not Available,Available
Astrido Toyota Tangerang,"Jl. Daan Mogot km 22,5,Tanah Tinggi, Tangerang 15119","(021) 5526690, 5526531",(021) 5530381,Tangerang,BANTEN,Available,Not Available,Available
Astrido Toyota Karawaci,"Jl. Raya Imam Bonjol No.1 Rt. 002/06, Panunggangan Barat, Karawaci, Tangerang 15115",(021) 5573-3999,(021) 5584001,Tangerang,BANTEN,Available,Available,Available
