City ID,Type,Name,Address,Phone,Group Name,City Name
44,Dealer,Wuling Alauddin,"Jl. Sultan Alauddin No.4-8, Pa'baeng-Baeng, Tamalate, Kota Makassar, Sulawesi Selatan 90223",-,Kumala Alauddin,Makassar
114,Dealer,Wuling Ambon,"Jl. Sultan Babullah No. 29, Honipopu, Sirimau, Ambon, Maluku 97126",-,SDM Ambon,Ambon
104,Dealer,Wuling Badung - Bali,"Jl. By Pass Ngurah Rai No.383, Badung, Bali 80361",(0361) 703345,Maju Motor Badung - Bali,Badung - Bali
18,Dealer,Wuling Balikpapan,"Jl. Jenderal Sudirman No. 708, Damai, Balikpapan, Kalimantan Timur 76114",(0542) 8505555,Arista Balikpapan,Balikpapan
14,Dealer,Wuling Banda Aceh,"Jl. Dr. Moh Hasan No. 6 - 7, Dusun Tgk Chik Gampong Lamdom Kec. Leung Bata Kota Banda Aceh, D.I. Aceh 23111",(0651) 8054200,Arista Banda Aceh,Banda Aceh
6,Dealer,Wuling Bandung BKR,"Jl. BKR No. 27, Pasirluyu, Kecamatan Regol, Kota Bandung, Jawa Barat 40253",-,Kumala Bandung BKR,Bandung
6,Dealer,Wuling Bandung Setiabudi,"Jl. Dr. Setiabudi No.43, Pasteur, Sukajadi, Kota Bandung, Jawa Barat 40161",-,Maju Motor Bandung Setiabudi,Bandung
6,Dealer,Wuling Bandung Soekarno Hatta,"Jl. Soekarno Hatta No. 729 A, Jatisari, Buah Batu, Bandung, Jawa Barat 40286",(022) 20529000,Arista Bandung Soekarno Hatta,Bandung
6,Dealer,Wuling Bandung Suci,"Jl. PH H Mustafa No. 188, Padasuka, Cibeuying Kidul, Bandung, Jawa Barat 40125",(022) 20527000,Arista Bandung Suci,Bandung
70,Dealer,Wuling Bangka,"Jl. Raya Koba Km.1,6 Kec. Pangkalan Baru, Bangka, Kepulauan Bangka Belitung 33684",0816355015,Maju Motor Bangka,Bangka
22,Dealer,Wuling Banjarmasin,"Jl. A. Yani Km 15,47 Kel. Gambut Kec. Gambut Kab. Banjar, Kalimantan Selatan 70654",(0511) 6747000,Arista Banjarmasin,Banjarmasin
25,Dealer,Wuling Banyuwangi,"Jl. LetJen S. Parman No.89A, Pakis, Banyuwangi, Banyuwangi Jawa Timur 68419",(033) 33384123,Arista Banyuwangi,Banyuwangi
15,Dealer,Wuling Basuki Rahmat,"Jl. Jenderal Basuki Rahmat No. 86, Tegalsari, Surabaya, Jawa Timur 60271",(031) 5355278 / 5355279,BLESS Basuki Rahmat,Surabaya
105,Dealer,Wuling Batam,"Jl. Raden Patah (Nagoya Gateway - Simpang Baloi), Kel. Kampung Pelita, Kec. Lubuk Baja, Kota Batam, Kepulauan Riau 29444",0778-4885838 / 0778-4888201,Maju Mobilindo Batam,Batam
56,Dealer,Wuling Baubau,"Jl. Betoambari No. 117-118 Bonebone, Batupoaru, Kota Baubau, Sulawesi Tenggara 93714",(0402) 2813765,Kumala Baubau,Baubau
8,Dealer,Wuling Bekasi,"Jl. Raya Siliwangi No.5, RT.008/RW.001, Bojong Rawalumbu, Kec. Rawalumbu, Kota Bekasi, Jawa Barat 17116",(021)82739888,Arista Bekasi,Bekasi
3,Dealer,Wuling Bengkulu,"Jl.  S. Parman No. 167, Bengkulu 38222",(0736) 7321999,Arista Bengkulu,Bengkulu
23,Dealer,Wuling Bintaro,"CBD Emerald Blok CE/A No. 07 Boulevard Bintaro Jaya, Kel. Parigi, Kec. Pondok Aren, Kota Tangerang Selatan 12260",(021) 27622222,Arista Bintaro,South Tangerang
7,Dealer,Wuling Bogor,"Jl. Raya Pajajaran No 100 A, Bogor, Jawa Barat 16153",(0251) 7559999,Arista Bogor,Bogor
51,Dealer,Wuling Bone,"Jl. Sukawati, Kel. Macege, Kec. Tanete Riattang Barat, Kab. Bone, Sulawesi Selatan 92712",(0481) 2922299,Kumala Bone,Bone
27,Dealer,Wuling Cengkareng,"Jl. Kapuk Cengkareng No. 7. RT 7/RW 14, Cengkareng, Kota Jakarta Barat 11730",(021) 22545555,Arista Cengkareng,West Jakarta
13,Dealer,Wuling Cianjur,"Jl. Siliwangi No. 83, Sawa Gede, Cianjur, Jawa Barat 43212",(0263) 2283330,Arista Cianjur,Cianjur
7,Dealer,Wuling Cibinong,"Jl. Raya Mayor Oking, RT. 003/RW. 001, Kel. Cirimekar, Kec. Cibinong, Kabupaten Bogor, Jawa Barat 16918",(021) 8372 9999,Arista Cibinong,Bogor
10,Dealer,Wuling Cibubur,"Jl. Raya Alternatif Cibubur, km 6, No. 18 Cibubur, Jakarta Timur 40115",(021) 82499008/009,Prima Cibubur,East Jakarta
